Customer_Reviews,Cleaned_Reviews,Sentiment_score,Sentiment
"

  I am a Computer Technician, and i have purchased and configured 5 of these. 2 were purchased from Amazon.Key Points.1) Initial Setup takes around 40 minutes but after that2) LAPTOP BOOTS IN LESS THAN 10 SECONDS (5 seconds frankly)Yes this laptop is Super FAST, because of its m.2 ssd.3) Clients with 3rd and 4th generation Core i5 laptops with 8 GB Rams couldnt spot the Difference in speeds. You are basically comparing a 45000rs - 65000rs year 2015 Laptops with a 2020, 30000rs. Which is just 2 core 2mb cache. Still is fast.. Thank you m.24) Recomended for people who want a Blazing fast laptop for Surfing, working on Excel, word.This laptop has1) License Lifetime Original Windows2) License for 1 year Microsoft Office student edition (word excel one note)3) has a 250 GB m.2 SSD Storage. (BLAZING FAST)4) Single Slot 4 GB Ram (If you want to upgrade to 16 GB.. its going to be a Difficult Turn)Word of Advice.1) IF you work simultaeously on Multiple Softwares. like 6 -  10 Excel sheets or heavy programmes like Adobe, then you may consider skipping this laptop as the RAM is just 4 gb2) Only Intel graphics but Old adobe and basic 3d softwares below 2018 works.Its a Value for Money. I am waiting for Competition like DELL and LENOVO to launch their varients so prices will drop. in 2 years.

",computer technician purchase configured 5 these 2 purchase amazonkey points1 initial setup take around 40 minute that2 laptop boot less 10 second 5 second frankly yes laptop super fast m2 ssd3 client 3rd 4th generation core i5 laptops 8 gb ram could not spot difference speed basically compare 45000rs 65000rs year 2015 laptop 2020 30000rs 2 core 2mb cache still fast thank m24 recomended people want blaze fast laptop surf work excel wordthis laptop has1 license lifetime original windows2 license 1 year microsoft office student edition word excel one note 3 250 gb m2 ssd storage blaze fast 4 single slot 4 gb ram want upgrade 16 gb go difficult turn word advice1 work simultaeously multiple software like 6 10 excel sheet heavy programme like adobe may consider skip laptop ram 4 gb2 intel graphic old adobe basic 3d software 2018 worksits value money wait competition like dell lenovo launch varients price drop 2 year,0.9758,positive
"

  I am writing this review after using the laptop for one month.1) The MS office 2019 is original , just activate when you recieve it by login into your microsoft account. If you don't have a microsoft account create it.2) The laptop boots in just 3 to 4 second. It is very fast on SSD.3) The shutdown also takes just 3 second, thus you save your valuable time.4) The processing is also very reasonable and good at this price.5) It work for about 7 hour in one charge.6) Autocad 2017 is working fine on it.7) Overall the performance of the laptop is very good.One can buy it without any doubts.

",write review use laptop one month1 m office 2019 original activate recieve login microsoft account microsoft account create it2 laptop boot 3 4 second fast ssd3 shutdown also take 3 second thus save valuable time4 processing also reasonable good price5 work 7 hour one charge6 autocad 2017 work fine it7 overall performance laptop goodone buy without doubt,0.9383,positive
"

  Worst service from Amazon and the seller. After buying this laptop I found that it's not suitable for running Android studio and I wanted to return it to get a higher configuration laptop but to my surprise I can't return it, the very next day. I was in the impression that we can return any item on Amazon but that was my biggest mistake and I lost 25k. This laptop is useless for me. Not happy at all.

",bad service amazon seller buying laptop find not suitable run android studio want return get high configuration laptop surprise return next day impression return item amazon big mistake lose 25k laptop useless me not happy,-0.827,negative
"

  It's Amazing! I have never ever thought the SSD can be so fast that the Windows will boot In just 5 seconds!I Really Loved the HP Laptop with Windows 10 Home + Office 2019 Students already included lifetime.The only reason for choosing this Laptop over the One with Ryzen A9 APU available on other ecommerce site, & choosing the Pentium 4417U is that, it's faster than the Ryzen.I really love this lightweight laptop & it's compactness makes it worth.This laptop is really great if you want windows office and a powerful processor with SSD in this segment of upto ₹28,000 /-

",amaze never ever think ssd fast window boot 5 second really love hp laptop window 10 home office 2019 student already include lifetimethe reason choose laptop one ryzen a9 apu available ecommerce site choose pentium 4417u faster ryzeni really love lightweight laptop compactness make worththis laptop really great want windows office powerful processor ssd segment upto Rs 28000,0.9693,positive
"

  Sound problem

",sound problem,-0.4019,negative
"

  This is very bad product from Amazon there is no bill and window is local . it hangs full time I want a complete solution regarding this

",bad product amazon no bill window local hang full time want complete solution regard,-0.34,negative
"

  Purchased this laptop on 29th October 2019.Writing a review after almost 1 year of usage. To start with this laptop is very quick to start when powered on, hardly takes 5 seconds to start up.Great for those with basic requirements like daily surfing, Watching movies, MS office, Excel, Powerpoint and basic editing tasks. Due to SSD it works like charm.Pros- SSD makes it pretty fast with 5-7 seconds boot and start time. (I checked higher end models in shops but could not find one that starts as quickly this)- Light weight, this is pretty light and easy to carry, my earlier samsung laptop used to weigh almost 2 kgs and this slim trim piece comes as a delight to me in terms of weight.- Great battery life, haven't found any problems with battery life till now. It works 6-8 hours on a single charge easily. For me it is on almost for the entire day and it still works great.- Great volume, I am yet to see a laptop with so crystal clear sound. Most laptops have very low volume.- Got windows 10 and MS office students version license with it which is great add-on at this price point. (many higher priced laptops also don't provide this).Cons- Well almost none for me considering my requirements but you can find difficulties with viewing angles and screen resolution while watching movies, but I have no complains for it at this price point.ConclusionA great value for money laptop at this price point, After one year I can say that I am pretty happy with the purchase.

",purchase laptop 29th october 2019writing review almost 1 year usage start laptop quick start power hardly take 5 second start upgreat basic requirement like daily surf watch movie m office excel powerpoint basic edit task due ssd work like charmpros ssd make pretty fast 57 second boot start time check high end model shop could not find one start quickly light weight pretty light easy carry earlier samsung laptop use weigh almost 2 kgs slim trim piece come delight term weight great battery life find problem battery life till now work 68 hour single charge easily almost entire day still work great great volume yet see laptop crystal clear sound laptop low volume get window 10 ms office student version license great addon price point many high price laptop also provide con well almost none consider requirement find difficulty view angle screen resolution watch movie no complains price pointconclusiona great value money laptop price point one year say pretty happy purchase,0.9946,positive
"

  One of the worst company and laptop available on Amazon...laptop is not working after 6 month use..and worst part is hp customer support they will first waste ur 4-5 days by just doing similar troubleshooting then send some moron technician again this cycle will go on but the problem of laptop will never be resolved...so never buy this laptop

",one bad company laptop available amazon laptop not work 6 month use bad part hp customer support first waste ur 45 day similar troubleshoot send moron technician cycle go problem laptop never resolve never buy laptop,-0.9133,negative
"

  Microsoft not working properly. Is it a defective piece

",microsoft not work properly defective piece,0.3412,positive
"

  Delivered one day earlier. Windows 10 and MS office Home & Student activated easily.USB ports are very tightly fitting. Speakers quality just good. Battery approx 5 hours.Reviewed after one day of use.

",delivered one day earlier windows 10 m office home student activate easilyusb port tightly fit speaker quality good battery approx 5 hoursreviewed one day use,0.6597,positive
"

  Price wise it is a good buy. Major drawback is outer body build quality as the body is not metallic and feels more like card board type. Also battery cannot be removed from outside. It is made in China.

",price wise good buy major drawback outer body build quality body not metallic feel like card board type also battery can not remove outside make china,0.598,positive
"

  Don't buy this product.. Return policy is not available.

",buy product return policy not available,0.0,neutral
"

  Writing this review after 6 months use. Got it for my daughters online classes. No problem till now. Start and shut down in 2 sec.. pretty fast.Pls go for it if you want basic laptop for regular use and browsing.Preinstalled Microsoft Office is a plus.Only con is Camera is very bad but its ok for me coz i don't use it.

",write review 6 month use get daughter online class no problem till now start shut 2 sec pretty fastpls go want basic laptop regular use browsingpreinstalled microsoft office plusonly con camera bad ok coz use,0.5358,positive
"

  The processor is so fast , it's really good for office work and watching movies go for it...

",processor fast really good office work watch movie go,0.4927,positive
"

  Its slow as hell and also only after using for 10 days the alphabet markings are rubbing off and disappearing from the keys on keyboard. A very sub standard product.

",slow hell also use 10 day alphabet marking rub disappear key keyboard sub standard product,-0.7579,negative
"


  Your browser does not support HTML5 video.


   This is a very bad laptop. Do not take it. It hangs and stops running. I have been compelled on amazon many times but they have taken it so far

",browser not support html5 video bad laptop not take it hang stop run compel amazon many time take far,-0.7398,negative
"

  Really a wonderful product, backup is great, charging very fast, windows 10 is licencrd and free forever, MS Office is not free. It boots very fast, we can attent phone calls, sms of phone, photos on phone very easily, need not go and take your phone to attend or make calls or sms. It is not for gaming or movies, though good enough for YouTube etc.

",really wonderful product backup great charge fast windows 10 licencrd free forever m office not free boot fast attent phone call sms phone photo phone easily need not go take phone attend make call sm not game movie though good enough youtube etc,0.9324,positive
"

  Cant believe it's a HP Laptop. I don't think people should consider buying Laptop from Amazon.Amazon team don't take any accountability post the Product is sold. They sell through Partners and possibly fake products. The HP laptop INR >25K didnot last even for 3 months.Few pointers,- The Laptop didnot have a Serial Number (there is NO sticker label pasted on the body of the Laptop).- Thereafter I called up Amazon and raised this issue ... at first they did not acknowledge the problem. Finally, they accepted. However, NO resolution was provided.- Performance of the Laptop - the less you talk about it , the better it's. Its pathetically slow and HDD has already crashed. In terms of Config, it's 4GB/1TB HDD however the performance is worse than my 4 early old Laptop.It was a terrible experience for me. People should reconsider before buying from Amazon.

",can not believe hp laptop think people consider buy laptop amazonamazon team take accountability post product sell sell partner possibly fake product hp laptop inr 25k didnot last even 3 monthsfew pointer laptop didnot serial number no sticker label paste body laptop thereafter call amazon raise issue first not acknowledge problem finally accept however no resolution provide performance laptop less talk well s pathetically slow hdd already crash term config 4gb1tb hdd however performance worse 4 early old laptopit terrible experience me people reconsider buy amazon,-0.8696,negative
"

  Just few days but in love with the product ... its light and i like the large fonts on the keypad ... pre installed windows 10 and its easy to set up .. I m Loving IT ;)

",day love product light like large font keypad pre instal windows 10 easy set loving,0.926,positive
"

  If you are looking for a laptop for work from home or office use you should go for it without a second thought. Because of its great battery backup and speed due to SSD. Also it's lightweight and good looking too.But if you are looking for a laptop which should be both good for Work and Gaming you should consider buying another one, because of its low processor and graphics card. It's not good for gaming. You will get good average gaming laptops with more specifications under 40 - 50K if you are lucky.

",look laptop work home office use go without second thought great battery backup speed due ssd also lightweight good look toobut look laptop good work game consider buy another one low processor graphic card not good gaming get good average game laptops specification 40 50k lucky,0.5719,positive
"

  Its a good student laptop and you can go for it.Not for gaming or running too much of multi-tasking. Support mentions it can be upgraded to 8GB RAM , still need to check it out. RAM slot support mentions is 1 but shows 2 on the system properties.Overall a good laptop for this price and its light weight too.

",good student laptop go itnot game run much multitasking support mention upgrade 8gb ram still need check out ram slot support mention 1 show 2 system propertiesoverall good laptop price light weight,0.8807,positive
"

  Excellent laptop. Beats macbook air in every department other than battery life, which is about 7 hours. Reviewed after six months usage

",excellent laptop beat macbook air every department battery life 7 hour review six month usage,0.5719,positive
"

  This  is very very low class product. not working perfectly. hanging in the middle of the programme.  customer care is not responding. i made big mistake for buying this product.

",low class product not work perfectly hang middle programme customer care not respond make big mistake buying product,-0.5673,negative
"

  It is very fast and light weight laptop. I recommend this, because of value of money. It is really faster than i3 laptops. Good to go...

",fast light weight laptop recommend value money really faster i3 laptop good go,0.7783,positive
"

  The Laptop is quite light and very fast, especially when starting the OS. The only con is the storage space when compared to the traditional drives, which again is a part of the specification. Overall a good buy!

",laptop quite light fast especially start os con storage space compare traditional drive part specification overall good buy,0.4404,positive
"

  Small product and on the laptop body there designing gripAnd it's SSD drive is awesome it takes max 3-4 second for startup and max 2 second for shutdownThis is happening coz of ssd drive I suggest u to if u have basic use then go for it

",small product laptop body design gripand ssd drive awesome take max 34 second startup max 2 second shutdownthis happen coz ssd drive suggest you you basic use go,0.6249,positive
"

  this product didnot work properly according to my desires

",product didnot work properly accord desire,0.4019,positive
"

  Don't get carried away by price . Not suitable for graphic designers, anyone into photoshop of visual mediums through computer..graphics are terrible, colors are muddled and dark.I should have.done better research.What I do like about it is it's very light weight and airy !

",get carry away price not suitable graphic designer anyone photoshop visual medium computer graphic terrible color muddle darki havedone well researchwhat like light weight airy,0.128,positive
"

  Pros:-  It is really very light weight  Its very fast alsoIf you don't require much space go with this  it prodiess awesome speed ,Boot ups in 5 sec ,Cons:-  You have to  compromise with storageBut a external hard drive would work goodNo fingerprint of face id ,Lower processor, But overall value for money, and its quality is also good ,(Review after one day of usage)

",pro really light weight fast alsoif require much space go prodiess awesome speed boot ups 5 sec con compromise storagebut external hard drive would work goodno fingerprint face id low processor overall value money quality also good review one day usage,0.7845,positive
"

  Value for the money...Best budget lap ever...

",value money best budget lap ever,0.765,positive
"

  Item as described, super fast delivery. Will review the laptop after a few weeks of use.

",item describe super fast delivery review laptop week use,0.5994,positive
"

  The product is slow like a turtle. Shame on the professor. Only good for browsing, that too takes long because of entered words to appear, or to open chrome🙆‍♂️ I can't believe I just lost 25K for this

",product slow like turtle shame professor good browsing take long entered word appear open chrome believe lose 25k,-0.1027,negative
"

  I brought it in exchange of my old one for my daughter s school. All was pre installed.Speed is very good. After pressing the switch it's make it ready in know time. Almost 20 days over no operational issus detected.

",brought exchange old one daughter school pre installedspeed good pressing switch make ready know time almost 20 day no operational issus detect,0.5367,positive
"

  The speed is very slow even to just see the photos and videos.. sole purpose I’ve purchased this laptop is to watch movies and surf stuffs, see photos  tu is but it’s even slower for this basic operations .. display screen is extremely shady and glare .. if you’re watching movie just aside then you won’t be able to see the picture

",speed slow even see photo videos sole purpose purchase laptop watch movie surf stuff see photos tu even slow basic operation display screen extremely shady glare watch movie aside able see picture,0.0,neutral
"

  Reveiw after 10 days :Worst Don't buy these kind of productsBattery life 1hrHanging for every 1 secBooting time 10 mntsHeating = You can cook anythingFinally Worst.. Worst... Worst...This reveiw is from IT employee (ME) in INFOSYS BPM LMT Banglore..If you still want to buy... Sure you can...

",reveiw 10 day worst buy kind productsbattery life 1hrhanging every 1 secbooting time 10 mntsheating cook anythingfinally bad bad bad reveiw employee infosys bpm lmt banglore still want buy sure,-0.8625,negative
"

  Great laptop for the price. Fast and light. Does the job

",great laptop price fast light job,0.6249,positive
"

  A nice laptop with all enough features....Recommended to friends,but,unfortunately unavailable now.

",nice laptop enough feature recommend friend unfortunately unavailable,0.7269,positive
"


  Your browser does not support HTML5 video.


   I dont know what to say. Usually window 10 sucks. It takes more than 2 min to reboot.I had to click more than 5 time to start a chrome.I am taking to a hp storeroom to install window 7 and remove this window 10.

",browser not support html5 video do not know say usually window 10 suck take 2 min rebooti click 5 time start chromei take hp storeroom install window 7 remove window 10,-0.6319,negative
"

  This laptop has stopped working just after using it for two weeks. I do not know if this is a fake product.

",laptop stop work use two week not know fake product,0.091,positive
"

  discovered a defected software within the first 5hrs of use which the hp guys can't even fix and they won't let you return. Don't buy this product unless you want to donate your cash. The hp team will be brutal when you contact them. Wish i could give them a 0 star rating.

",discover defected software within first 5hrs use hp guy even fix let return buy product unless want donate cash hp team brutal contact them wish could give 0 star rating,-0.5859,negative
"

  Plastic is not that much great. Performance is good and battery backup is good

",plastic not much great performance good battery backup good,0.3624,positive
"

  Not as light but good

",not light good,-0.3412,negative
"

  Poor build quality, processor speed is too slow, device hangs quite often, no inbuilt wireless router, slow charging & battery backup is also not up to the mark. It seems that the battery is refurbished..Hope Amazon will replace the item sooner...

",poor build quality processor speed slow device hang quite often no inbuilt wireless router slow charge battery backup also not mark seem battery refurbish hope amazon replace item sooner,-0.2449,negative
"

  Highly recommend this laptop.If you required laptop for normal use..I will strongly recommend this laptop.i have got my laptop today and satisfied with the quality and all functions.

",highly recommend laptopif require laptop normal use strongly recommend laptopi get laptop today satisfy quality function,0.8553,positive
"

  Very slow processor I couldn't run programs in this laptop.it will take long time to open browser.and all other then this it's fine

",slow processor run program laptopit take long time open browserand fine,0.2023,positive
"

  Poor performance.. Do not buy this item.. Gets hang every time... just bought the new laptop and even online classes are no possible on the laptop.

",poor performance not buy item get hang every time buy new laptop even online class no possible laptop,-0.6486,negative
"

  Not so Good. Processor satisfactory. Anti virus is also for one month, should be at least one year.

",not good processor satisfactory anti virus also one month least one year,-0.7018,negative
"

  3rd class product

",3rd class product,0.0,neutral
"

  Battery back up not up to mark of as said while buying

",battery back not mark say buying,0.0,neutral
"

  Fast performanceWosrt display

",fast performancewosrt display,0.0,neutral
"

  Recently I bought this product,finding that it is a bestseller laptop...but starting from the first day it is so slow..it has been 30 minutes since I am trying to check my Gmail but not able to do so.worst product

",recently buy product find bestseller laptop start first day slow 30 minute since try check gmail not able soworst product,0.0,neutral
"

  Got it in 26000.It's a nice product with pre loaded MS office and windows.

",get 26000it nice product pre load ms office window,0.4215,positive
"

  Even a single tab is not opening at normal speed. It is very dead slow. The laptop response is very slow even if i open the file manager.  Amazon is not accepting the complaint, and redirecting to the seller page.

",even single tab not open normal speed dead slow laptop response slow even open file manager amazon not accept complaint redirect seller page,-0.5988,negative
"


  Your browser does not support HTML5 video.


   Very slow processor, within few weeks line appeared on the screen, tragic purchase, and now from the date of the first review another line is appearing in the screen

",browser not support html5 video slow processor within week line appear screen tragic purchase date first review another line appear screen,-0.6437,negative
"

  Laptop is very slow, have never seen such a slow motion laptop ever, just to save some money don't get in to trap.

",laptop slow never see slow motion laptop ever save money get trap,0.2263,positive
"

  I am using it from last one month.....its value for money.....battery power is reasonable, light weight, very low start time.

",use last one month value money battery power reasonable light weight low start time,0.0772,positive
"

  What a pathetic customer service. 5G is not enabled on the laptop and then when contacted customer support they are just useless, no resolution provided.Didn't expect such service.

",pathetic customer service 5g not enable laptop contact customer support useless no resolution provideddidn expect service,-0.7184,negative
"

  Absolutely values for money , no issues with OS and window 10 and antivirusAll perfect just that the option to upgrade SSD should have been available

",absolutely value money no issue os window 10 antivirusall perfect option upgrade ssd available,0.6032,positive
"

  laptop has everything for under 35k price range +ssd

",laptop everything 35k price range ssd,0.0,neutral
"

  Good product with a reasonable price

",good product reasonable price,0.4404,positive
"

  Entry level laptop.For students .Not for gaming.

",entry level laptopfor student not game,0.0,neutral
"

  Excellent laptop at such a cheap price. Good for basic stuff.

",excellent laptop cheap price good basic stuff,0.765,positive
"

  Highly pathetic laptop it open in around 10 minutes and to open an application  you need to wait for around next 15 min  feel like throwing it away

",highly pathetic laptop open around 10 minute open application need wait around next 15 min feel like throw away,-0.3597,negative
"

  Please please dont buy this laptop.Due to it's slow speed it is unusable.Very very dissatisfied. Shocked HP would be selling  such quality stuff. Shame.

",please please do not buy laptopdue slow speed unusablevery dissatisfy shocked hp would sell quality stuff shame,-0.6124,negative
"

  Lightning fast boot upBetter use external KB and mouse

",lightning fast boot upbetter use external kb mouse,0.0,neutral
"

  After power on it works bit slower but after few min it runs smoothly

",power work bit slow min run smoothly,0.0,neutral
"

  MS Office was valid for 4 days only, seller has not mentioned complete details. It's cheating.

",m office valid 4 day seller not mentioned complete detail cheat,-0.4588,negative
"

  It is fast, good for regular office/home work.

",fast good regular officehome work,0.4404,positive
"

  VERY NICE

",nice,0.4215,positive
"

  Yet I haven't used it for programming purposes. But of you are looking for home based need. This is the laptop for you.

",yet use programming purpose look home base need laptop,0.0,neutral
"

  Good

",good,0.4404,positive
"

  Super. Not full hd

",super not full hd,0.5994,positive
"

  Very fast, light weight notebook I was searxhing for

",fast light weight notebook searxhing,0.0,neutral
"

  Best value for money. For day to day working.

",best value money day day work,0.765,positive
"

  Very nice product. Loved it. It is working very smoothly. I recommend to buy this laptop. It is very helpful in online classes. Value for money!!!

",nice product love it work smoothly recommend buy laptop helpful online class value money,0.9287,positive
"

  I m not so happy by buying this product its a very huge mistake and no one help me every one is cheated me

",not happy buying product huge mistake no one help every one cheat,-0.861,negative
"

  Value for money product. Keyboard is stiff and takes some getting used to. Best you can get for this price

",value money product keyboard stiff take get use to best get price,0.765,positive
"

  worst, waste of money

",bad waste money,-0.743,negative
"

  V bad product

",v bad product,-0.5423,negative
"

  Processing speed is very slow

",process speed slow,0.0,neutral
"

  I m vry satisfy to this product... this product is genuine part....Over all nice product

",vry satisfy product product genuine part nice product,0.7003,positive
"

  very good product but only this performance give only 10= 7℅ and all other quality is very good.

",good product performance give 10 7 cof quality good,0.7003,positive
"

  FabIts fast manV fast

",fabits fast manv fast,0.0,neutral
"

  battery life is good  with slim body and light weight

",battery life good slim body light weight,0.4404,positive
"

  third-class product very slow ..used product given by amazon

",thirdclass product slow use product give amazon,0.1779,positive
"

  While playing Youtube videos there are buffing sound that comes...

",play youtube videos buff sound come,0.34,positive
"

  It's performance is great because of sad. I was disappointed after seeing that it's made of plastic (body).

",performance great sad disappointed see make plastic body,-0.2732,negative
